,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
1181,1.0,0.816457714858303,0.6141982496474893,0.5743328621055445,0.9003307,0.8,1.0,1.0,0.7796224156227801,0.8796043763396033,1.0,1.0,1.0,5.575404434290451e-06
1747,0.0,0.5510753626188668,0.6141982496474893,0.5766519245358096,0.5878211,0.56,1.0,0.6,0.5593942307869796,0.575453062291737,1.0,1.0,1.0,6.568307268494053e-05
470,0.0,0.11375077673379423,0.39158030979460184,0.5714527244312075,0.03748726,0.03,0.0,0.0,0.2977098858730864,0.15545901774498397,1.0,1.0,1.0,4.177432441673192e-08
1474,1.0,0.3579812751012373,0.39158030979460184,0.5755364765187119,0.28535938,0.37,0.0,0.4,0.5074565391081762,0.41378076719649887,1.0,1.0,1.0,2.875769014865359e-05
1024,1.0,0.9936637295699354,0.9914826970904286,0.5736753807897572,0.99083626,0.97,1.0,1.0,0.9941479598929044,0.982889839620879,1.0,1.0,1.0,1.0
1446,1.0,0.9256843914638978,0.7052110079211313,0.5754221946523881,0.92815197,0.92,1.0,1.0,0.8067980980915898,0.922182013031295,1.0,1.0,1.0,0.00017210301752712095
2321,1.0,0.5508815482449887,0.7052110079211313,0.5788776860089855,0.8264146,0.76,1.0,0.8,0.5748727946240274,0.5879556900038377,1.0,1.0,1.0,0.00010608325301383717
845,0.0,0.1624563847782494,0.39158030979460184,0.5729199323816551,0.078556135,0.05,0.0,0.4,0.299599555480715,0.16201446436121858,1.0,1.0,1.0,2.5290618737677216e-06
1556,0.0,0.5135405896510848,0.33715170770177727,0.5758300416649429,0.5985105,0.77,1.0,0.6,0.5166825844906605,0.5459040166073551,1.0,1.0,1.0,9.406100840804642e-06
252,0.0,0.0049395791576568315,0.15112069003081907,0.5705136463486884,0.010928546,0.0,0.0,0.0,-0.1518255028456008,0.01000054802173653,0.0,1.0,1.0,1.1725131784445073e-12
992,0.0,0.050528902722670174,0.08840688995174588,0.5735191091759295,0.010620572,0.0,0.0,0.0,0.15169834801574944,0.055243778324536016,1.0,1.0,1.0,1.198252040058172e-07
1232,1.0,0.921094848993819,0.8403186632513238,0.5744992832503784,0.93342996,0.91,1.0,1.0,0.8275299161746597,0.9098390862693562,1.0,1.0,1.0,1.0
1664,1.0,0.9852886558495144,0.9914826970904286,0.5763222934145326,0.9954085,1.0,1.0,1.0,0.9686312582983098,0.9801480420112278,1.0,1.0,1.0,1.0
1782,1.0,0.9442901766083579,0.9460650291006563,0.576788399746958,0.9339034,0.93,1.0,1.0,0.8796502821534247,0.9348410261793957,1.0,1.0,1.0,1.0
