,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
223,0.0,0.5524081217331089,0.5095656831214689,0.53609948307519,0.37611744,0.51,0.0,0.2,0.5462952866849049,0.5486177120501049,1.0,1.0,1.0,0.6740345401629919
1367,0.0,0.6999701019978858,0.7081626083956614,0.6960152593300503,0.5825405,0.62,1.0,0.6,0.6699845680922571,0.6988324161512376,1.0,1.0,1.0,0.8512473216523506
1819,1.0,0.48832134849315667,0.4755259365894663,0.49659523298216734,0.38616726,0.63,0.0,0.6,0.49376634965953087,0.4995890247274098,1.0,1.0,1.0,0.027549257490488418
383,0.0,0.5015223755175382,0.49030315366584837,0.5292094763163077,0.5131233,0.5,1.0,0.8,0.5412628362917777,0.4996197027705041,1.0,1.0,1.0,0.3419065156191437
375,1.0,0.3459574757244406,0.47497012415813966,0.374260720390733,0.21351604,0.34,1.0,0.2,0.47405872141671845,0.34289961064635777,0.0,0.0,0.0,0.29898242010258413
1563,1.0,0.7139438601525032,0.6262974057323373,0.7402330814541613,0.69207996,0.49,0.0,0.6,0.650976932957969,0.7268822546139929,1.0,1.0,1.0,0.6785726058427273
925,1.0,0.705280095185021,0.5327958008190514,0.7484188315976975,0.37073612,0.64,1.0,0.8,0.5779719067906528,0.7215818984825846,1.0,1.0,1.0,0.9903819608026181
408,1.0,0.4598565750146783,0.5375215354660631,0.4644744549711296,0.5790308,0.68,0.0,0.4,0.5158083185891664,0.45734621578300383,0.0,1.0,1.0,0.8542419695853315
478,0.0,0.6541191411277438,0.5826561488793413,0.6202676259247699,0.5702352,0.43,0.0,0.4,0.5939749282073594,0.6575371968548576,1.0,1.0,1.0,0.5162081494269072
670,1.0,0.5906736831451722,0.5946390394431144,0.6097279210369878,0.954427,0.75,0.0,0.4,0.6359278147898885,0.5771587685890002,1.0,1.0,1.0,1.1232764830219979e-30
1682,0.0,0.3422141340480832,0.4048400152012336,0.3339275459520857,0.41048908,0.53,0.0,0.2,0.4253901204902439,0.3526122760016974,0.0,0.0,0.0,0.0024823937109791075
1040,1.0,0.722213639679985,0.7266109975208805,0.7221793112335717,0.64907134,0.74,1.0,0.8,0.6943019285256424,0.7260131872075045,1.0,1.0,1.0,0.08571140749982127
1885,1.0,0.3538996594455754,0.45931688595961595,0.3371276718896075,0.4404944,0.37,1.0,0.4,0.4626598995373633,0.3507880370076488,0.0,0.0,0.0,0.45375534724329325
575,0.0,0.6276541176659624,0.5316776036311172,0.6704108879894463,0.49936172,0.52,0.0,0.6,0.5953801381112026,0.6225019367652648,1.0,1.0,1.0,0.6097598516567327
1163,1.0,0.8036749490198042,0.8285354755985653,0.8189211286322732,0.5035394,0.54,1.0,0.8,0.8089853383651971,0.7556130212510958,1.0,1.0,1.0,1.0
1754,0.0,0.5458074703160879,0.6181187339371953,0.5534156417473086,0.4934467,0.57,0.0,0.4,0.5857765461582836,0.5529793495350002,1.0,1.0,1.0,0.06498960330780915
1821,0.0,0.4776202371883152,0.5519386231657318,0.46635694159781793,0.55192953,0.61,1.0,0.4,0.5300666937563956,0.48065133718455316,0.0,1.0,1.0,0.5305884533851555
1187,1.0,0.5452327560301691,0.593041888435858,0.5639424547635282,0.6612998,0.6,1.0,0.8,0.5899672753409532,0.5378263668587927,1.0,1.0,0.0,0.5994303715740913
1205,1.0,0.33362793178232864,0.6356227348632586,0.3280580065476912,0.60810256,0.61,0.0,0.6,0.48645694001711864,0.32098650913336657,0.0,1.0,1.0,1.346862375399366e-16
1873,1.0,0.5120993889320097,0.542198687625104,0.5349776081803836,0.6079987,0.69,1.0,0.6,0.5351949735124663,0.5067635083445439,1.0,1.0,1.0,0.8882738413313579
1919,1.0,0.5424272504753163,0.530793518623039,0.5435205038551895,0.46372053,0.46,0.0,0.4,0.5218848843786738,0.5635874493208465,1.0,1.0,1.0,0.9875342022259099
169,1.0,0.46600835558506215,0.463937793285702,0.4581150663733104,0.4665196,0.67,1.0,0.8,0.47771549856910495,0.47323924014189495,0.0,1.0,1.0,0.6010987344671068
354,0.0,0.5132588533730632,0.5126520789257402,0.4975408812661075,0.52811956,0.67,1.0,0.8,0.5414825513597877,0.5169623866157097,1.0,1.0,1.0,0.5703409665545313
302,0.0,0.3366625335313739,0.42007004484274607,0.3693659633955215,0.36470413,0.31,0.0,0.4,0.4236827995371206,0.3299584499801928,0.0,0.0,0.0,0.04343545067688618
285,1.0,0.695698284882543,0.47497012415813966,0.683438835371484,0.5949994,0.38,1.0,0.4,0.590754678585321,0.6886769985928088,1.0,1.0,1.0,0.9394999405804919
1171,0.0,0.5326648133211529,0.5961531981946527,0.5399482479664724,0.61469734,0.59,1.0,0.6,0.5636833844768804,0.5290639466949557,1.0,1.0,1.0,0.8492398328467136
1791,1.0,0.5712140354671461,0.5429104813310991,0.5787852431233752,0.50327265,0.6,1.0,0.8,0.5381383106517127,0.571056077750051,1.0,1.0,1.0,0.45179981524413726
1891,0.0,0.6264489930219262,0.6324646767187061,0.6330866054168588,0.6408982,0.75,1.0,0.4,0.6510958814576199,0.6359381047532643,1.0,1.0,1.0,0.0518010452738853
365,1.0,0.33024800399260584,0.38929172735249984,0.33322671172537777,0.4506997,0.47,0.0,0.4,0.4338465429745827,0.3163228731111836,0.0,0.0,0.0,0.49223760363153773
2012,0.0,0.5298049323424822,0.5723191570626109,0.5219867793598857,0.6078442,0.64,0.0,0.4,0.5550119848514381,0.5354501570138399,1.0,1.0,1.0,0.6648205680464481
1522,0.0,0.638403783398901,0.5740619709141771,0.6510613960242293,0.6600032,0.41,1.0,0.4,0.6096876686553677,0.6427881202520318,1.0,1.0,1.0,0.9616063759924443
1392,1.0,0.7101126379712083,0.5782070356841749,0.6741105746725079,0.6843907,0.69,1.0,0.8,0.6268874341145824,0.7109914087416365,1.0,1.0,1.0,0.9513648189419088
135,0.0,0.5990883064808398,0.6118933883869058,0.5840459787838013,0.5752144,0.55,1.0,0.4,0.5977032996577113,0.6013999744845793,1.0,1.0,1.0,0.7202665961959266
277,1.0,0.7713589444835103,0.47273847379498285,0.7588553072739723,0.7569585,0.78,1.0,0.8,0.5870513797761109,0.7896007884680293,1.0,1.0,1.0,0.9896581167165667
1947,1.0,0.4632403045681158,0.5191878761518476,0.48483492739678324,0.4914292,0.34,0.0,0.6,0.5010626427926167,0.4685013084090901,0.0,0.0,1.0,0.012911535107650732
1758,0.0,0.3861427871104002,0.308824164155653,0.3858665054432155,0.38773358,0.31,0.0,0.2,0.3434261613314372,0.3944363870855914,0.0,0.0,0.0,0.09167226054662164
758,1.0,0.5464832877002498,0.521706418991238,0.5432276963487696,0.5528331,0.49,1.0,0.8,0.5327349865294859,0.5470561691002029,1.0,1.0,1.0,0.5274512692365647
1567,1.0,0.7015826609201203,0.7671567101408241,0.7180340605092032,0.6434456,0.71,0.0,0.8,0.7127922745556787,0.7003010847391572,1.0,1.0,1.0,0.9695392618141084
1765,1.0,0.7530936825292484,0.7314661950698448,0.7404925415814605,0.875565,0.78,1.0,0.8,0.720707104876798,0.7552812770107001,1.0,1.0,1.0,0.9477340446225921
1029,0.0,0.6406976617209053,0.6678334330897309,0.6280044255433469,0.63764197,0.65,1.0,0.6,0.6488134516298453,0.6417184700706752,1.0,1.0,1.0,0.8618055492295092
