,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
1637,1.0,0.5624923321530594,0.5807032093321596,0.5624837595325657,0.66004187,0.61,0.0,0.4,0.6607941176579994,0.674127866435442,1.0,1.0,1.0,0.9166294693822815
1990,1.0,0.5636923078952759,0.6574582002373877,0.5636835731256976,0.74105006,0.91,1.0,1.0,0.622069850082353,0.6321069214161713,1.0,1.0,1.0,0.2591370472197207
1039,1.0,0.5604874289582208,0.3760639029247875,0.5604791292213551,0.14617237,0.51,1.0,0.4,0.38569026279613916,0.34789445742853625,1.0,1.0,1.0,2.4352306358885726e-05
2333,0.0,0.5647752448870156,0.6682199135975202,0.5647663642673235,0.83769196,0.51,1.0,0.6,0.6735958894919012,0.6815957822623766,1.0,1.0,1.0,0.6436927850375839
342,0.0,0.5581574028841125,0.5240309882116769,0.558149415126351,0.58992994,0.58,0.0,0.2,0.4865545760739401,0.47017174849770493,1.0,1.0,1.0,0.08339105844665327
341,1.0,0.5581497277195281,0.5958125757732246,0.5581417397409142,0.6343657,0.71,1.0,0.8,0.5610167189007385,0.5615617061662981,1.0,1.0,1.0,0.12500090357321725
521,0.0,0.5587553171924713,0.8108794928344996,0.5587472424253612,0.6333091,0.85,1.0,0.8,0.8587652874982983,0.8351835619084416,1.0,1.0,1.0,0.9673288120492383
705,1.0,0.5593614893826572,0.6234493762795486,0.5593533374982486,0.5358114,0.75,1.0,0.6,0.5701009863088214,0.5708461278387651,1.0,1.0,1.0,0.17961034300016773
2116,1.0,0.5640490186832836,0.701776384909169,0.5640402348240717,0.7114484,0.59,0.0,0.6,0.7067877608668237,0.7137611505682916,1.0,1.0,1.0,0.7030110655473711
377,1.0,0.5583055508862447,0.36117739216473366,0.558297544711828,0.0988938,0.26,0.0,0.4,0.3475429122451344,0.3184156458417903,1.0,1.0,1.0,0.001636363562199834
1455,0.0,0.5619031799549731,0.5943519316973893,0.561894686637544,0.5799939,0.7,1.0,0.8,0.5435247760083659,0.5363448619142731,1.0,1.0,1.0,0.15584946536855193
542,1.0,0.5588174739023554,0.6916007747674688,0.5588093944239282,0.7362053,0.91,1.0,1.0,0.6471777516954338,0.6526744906899229,1.0,1.0,1.0,0.23480473782292532
2283,0.0,0.5646176198048523,0.38992920350292193,0.5646087663751029,0.6520269,0.58,0.0,0.4,0.5098850112346954,0.5163389677927163,1.0,1.0,1.0,0.08583402866826607
108,1.0,0.5573366336593718,0.3523629049295095,0.5573287593312142,0.21133232,0.09,0.0,0.0,0.35708485266520157,0.33493291183051205,1.0,1.0,1.0,0.008785749197358816
557,1.0,0.5588773289256689,0.559262684767263,0.5588692427662763,0.5242584,0.63,0.0,0.6,0.5370059738621172,0.5508946935463576,1.0,1.0,1.0,0.16223053618417174
1943,0.0,0.5635055029726308,0.4309787657945351,0.563496796907219,0.37123865,0.32,0.0,0.2,0.40537147324989153,0.3810441533800355,1.0,1.0,1.0,0.08084869905118314
1919,0.0,0.5634350664676171,0.5608423306798493,0.5634263684172474,0.58089584,0.45,0.0,0.4,0.5364026212084189,0.5162372958995821,1.0,1.0,1.0,0.09943739698668815
2161,1.0,0.5642158652006819,0.5595137610553271,0.5642070624064635,0.31966686,0.42,1.0,0.8,0.5021410328178564,0.4740077751478208,1.0,1.0,1.0,0.10854316660032352
1310,1.0,0.5613874338945848,0.6127786783195358,0.5613790088211947,0.71882856,0.53,0.0,0.4,0.6893740525584188,0.7132776502604965,1.0,1.0,1.0,0.8680459081172175
1835,1.0,0.5631854485960259,0.3372614817601425,0.5631767859996791,0.47511232,0.32,0.0,0.2,0.34211686680542347,0.3210136894753602,1.0,1.0,1.0,0.002297412186698973
77,1.0,0.557243714517946,0.5233661227542721,0.5572358495940101,0.49591157,0.33,0.0,0.8,0.5266918335566823,0.5200516052803374,1.0,1.0,1.0,0.21485015571185204
856,1.0,0.5598593429687047,0.5862753302363948,0.5598511238650382,0.58585876,0.66,1.0,0.8,0.6367669951334178,0.6604741797098655,1.0,1.0,1.0,0.6541289899178986
736,1.0,0.5594780968006429,0.4536223536482272,0.5594699330055988,0.4374128,0.52,1.0,0.6,0.4705059107163311,0.46149846720269005,1.0,1.0,1.0,0.013489480937952342
1613,0.0,0.5624157301433815,0.5953055978390864,0.5624071670137589,0.6105563,0.51,1.0,0.4,0.609447657679562,0.6207499171609728,1.0,1.0,1.0,0.5185940455639899
