,detection level,no of samples in training,Lasso mean,Lasso std,Decision Tree mean,Decision Tree std,Random Forest mean,Random Forest std,OLS mean,OLS std,Neural Network mean,Neural Network std
0,-1.6094379124341003,386,-1.7987040053728571,0.3343549760462167,-1.6964662242083737,0.3259804018317218,-1.7150844238687064,0.351016013968146,-1.7489263147767067,0.3418997913745324,-1.793270479741369,0.3440500412952171
0,-2.659260036932778,291,-2.359123010684133,0.25948606059453333,-2.382630611572866,0.28438004731905947,-2.3763787551401374,0.24368908007826795,-2.324763296242018,0.27172545397225223,-2.3639556534431163,0.25965771719892194
0,-2.3025850929940455,271,-2.1203850568191043,0.2924271448831957,-2.09429535427932,0.3559651821925259,-2.0678445976894806,0.38080128969515387,-2.067308072990712,0.28708345475338604,-2.1262167574203006,0.29806944797083756
0,-1.2039728043259361,177,-1.4329877461233163,0.34546447043645045,-1.3807813664878412,0.3557792183719074,-1.375058996568607,0.31713399089216293,-1.3784840705776815,0.3614052343522034,-1.4225548033430124,0.34718341956522064
0,-0.916290731874155,87,-1.2131797745074295,0.38706134181427754,-1.2282965311380716,0.35484520826170174,-1.2039398715987701,0.3819726472304324,-1.1650938884227928,0.38894587664825536,-1.2021239645484687,0.38821840832902554
0,-0.6931471805599453,47,-1.037573644579727,0.32880404330279067,-1.0324859443775987,0.32660584737307363,-0.9830640646264732,0.36413577050499285,-0.9720884129396288,0.3454042832212901,-1.0328803119987504,0.3204393075515708
0,-0.5108256237659907,32,-0.8075650163379642,0.4035365119359769,-0.6658440627411628,0.4946153038481334,-0.6973312120170173,0.47464423175217374,-0.7105549817358562,0.3990183242273047,-0.8335290196141549,0.3861110828946281
0,-0.2231435513142097,20,-0.3754345223436085,0.20067892271612225,-0.4218648773035013,0.20268300339557838,-0.30963302256039976,0.38003639135483663,-0.34654271131844633,0.32507800161894623,-0.3980833920865367,0.16622176389851964
