,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
2061,0.0,0.49645507064443334,0.5158190195990701,0.49798391442235235,0.47378436,0.44,0.0,0.8,0.5305559574736124,0.4954586468272529,1.0,1.0,1.0,0.9999942699332356
1903,1.0,0.6066633847772814,0.5752116668646692,0.6070849140565627,0.5978716,0.43,0.0,0.4,0.5804805397516575,0.6092359473294121,1.0,1.0,1.0,0.9999988592665088
205,0.0,0.47849509736063983,0.523845495981393,0.4799676797652803,0.48927248,0.36,0.0,0.2,0.5013386341819459,0.4782287857253625,1.0,1.0,1.0,0.9999972133244374
937,1.0,0.6491762873998451,0.595625116079637,0.650064982236944,0.63249254,0.6,0.0,0.8,0.5961477457678863,0.6519727693057289,1.0,1.0,1.0,0.9999993026100975
693,1.0,0.3190646858489573,0.4870821405573421,0.3202124584978625,0.32924876,0.24272727272727274,0.0,0.0,0.44963105237518375,0.3222801533327222,0.0,0.0,0.0,0.9976395077902507
2001,1.0,0.8020322652633799,0.5752116668646692,0.8027215259307714,0.86956733,0.94,1.0,0.8,0.6395736973267754,0.815783997148113,1.0,1.0,1.0,0.9999999992273203
605,1.0,0.5051756661790466,0.5158190195990701,0.5046461444064826,0.18314777,0.46,1.0,0.4,0.5551960847053719,0.5077588259974353,1.0,1.0,1.0,0.9999968366587677
1944,0.0,0.6889139157007573,0.6194218668239412,0.6863429594511978,0.7292566,0.945,1.0,0.6,0.6237728584730826,0.691380396877805,1.0,1.0,1.0,0.9999995063504495
845,0.0,0.6080774364985096,0.6307352035398676,0.6095305710050982,0.6183373,0.4333333333333333,0.0,0.8,0.5652093011536924,0.6077973699931899,1.0,1.0,1.0,0.9999991136655757
885,0.0,0.699865542074587,0.6089666506019216,0.7010039494242901,0.6803271,0.7,1.0,0.6,0.6390440970710477,0.7034333685885314,1.0,1.0,1.0,0.9999995288120127
624,0.0,0.48488530959330256,0.4870821405573421,0.4863656046287381,0.5393008,0.45,0.0,0.8,0.48996644889295826,0.4796759547929556,1.0,0.0,0.0,0.999637533930393
602,0.0,0.6595433862599247,0.5795962454664242,0.6597961700225997,0.5145106,0.7,0.0,0.6,0.6078518199971785,0.6616671744782718,1.0,1.0,1.0,0.9999996232284721
1679,0.0,0.6287177706084428,0.5752116668646692,0.6297546030050619,0.6132549,0.6223333333333333,1.0,0.6,0.6148452226377241,0.6307820159514336,1.0,1.0,1.0,0.9999992420414218
2080,0.0,0.5135736295992749,0.5081090559033196,0.5148967363891938,0.4105568,0.48,1.0,0.6,0.5198841936354088,0.5164828811104225,1.0,1.0,0.0,0.9999978501431189
1130,0.0,0.35319963038335,0.4870821405573421,0.3508588353447189,0.508749,0.58,1.0,0.8,0.4649328011248668,0.33858744229211424,1.0,1.0,0.0,0.998435133731145
698,0.0,0.6087242567124975,0.6206524570922114,0.6056553505196132,0.5995699,0.7241666666666666,1.0,0.4,0.5652093011536924,0.6094251004109044,1.0,1.0,1.0,0.9999990403009194
749,1.0,0.7397771620201248,0.5752116668646692,0.7402800778520999,0.75278485,0.9643333333333333,1.0,0.8,0.6395736973267754,0.7449669552375667,1.0,1.0,1.0,0.9999997210008401
909,0.0,0.5965145711019598,0.5134504147919249,0.5977811779630804,0.4956735,0.42,0.0,0.4,0.5516237523956737,0.6013792778467353,1.0,1.0,1.0,0.9999991065770514
1078,1.0,0.6520392984541558,0.5686499154392044,0.6504066363821115,0.36646938,0.67,0.0,0.6,0.5910458826458316,0.6581078702930951,1.0,1.0,1.0,0.999997297341821
1264,0.0,0.41946591639998243,0.5752116668646692,0.42033560730410857,0.50984704,0.47,0.0,0.6,0.5054347326886965,0.41037337073712,0.0,1.0,1.0,0.9998617758085473
919,1.0,0.6492695370991738,0.613907178483339,0.6510554875775065,0.6478878,0.64,1.0,0.4,0.6069980921327642,0.6451752792132635,0.0,1.0,1.0,0.9999980991117124
1941,0.0,0.4839018247985448,0.5050607164819162,0.48551427402054714,0.55297494,0.62,1.0,0.6,0.5304586736756662,0.482328286900612,1.0,1.0,1.0,0.9999963824296991
444,0.0,0.5590576919299203,0.518023501488797,0.5565723433446323,0.43971208,0.39,1.0,0.6,0.5671094445242705,0.5671690114426384,1.0,0.0,0.0,0.9999983962405067
