,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
2159,0.0,0.556518933288772,0.6549761155660953,0.5565193499406327,0.70995206,0.68,1.0,1.0,0.6979257139698543,0.6998052719121596,0.0,1.0,1.0,0.725835379982496
1108,1.0,0.5534463517721334,0.6140969721546373,0.5534467460553906,0.6277698,0.89,1.0,0.8,0.5966052749637379,0.6097490097164188,1.0,1.0,1.0,0.39322895761931304
909,0.0,0.5528382377458324,0.3483881008216598,0.5528386278077925,0.23441991,0.26,1.0,0.4,0.37346434024161934,0.36816156461519733,1.0,1.0,1.0,0.12730782650601907
484,0.0,0.5516181535242094,0.6742915907970263,0.5516185344807824,0.7359962,0.78,1.0,0.6,0.771303466702616,0.7727268336645908,1.0,1.0,1.0,0.9591732862370459
1846,0.0,0.5556474680362914,0.5149516560867801,0.5556478784214771,0.4460289,0.41,0.0,0.6,0.5767406889334551,0.5778421804245837,1.0,1.0,1.0,0.5253628300745176
40,0.0,0.5502680963555122,0.4100058432965638,0.5502684676601013,0.36332217,0.29,1.0,0.4,0.43540729179299653,0.41838377875556165,1.0,1.0,1.0,0.013267401719201294
1205,1.0,0.5537432481439749,0.6790984736255977,0.5537436445643468,0.74473804,0.82,1.0,1.0,0.7220249508342361,0.7217449773084254,1.0,1.0,1.0,0.9027731904940894
1460,1.0,0.5545140522331514,0.669585202410037,0.5545144542721939,0.68354577,0.73,1.0,1.0,0.6104802787799805,0.6154589021282684,1.0,1.0,1.0,0.4429594134519845
862,1.0,0.552702929767773,0.6742915907970263,0.5527033186009801,0.6913201,0.99,1.0,1.0,0.6803703372974881,0.6920161418724319,1.0,1.0,1.0,0.8036594393211927
1767,0.0,0.5554278587238513,0.5012345888481614,0.5554282674399429,0.48231634,0.56,1.0,0.6,0.4848639323516705,0.48629359026491015,1.0,1.0,1.0,0.25326686961382794
346,0.0,0.5511930410917684,0.517399367487122,0.5511934190090171,0.51237166,0.48,0.0,0.6,0.5325041364428849,0.5360547440452842,1.0,1.0,1.0,0.2835546625016146
261,0.0,0.5509262918896328,0.36463427962614464,0.5509266681671938,0.5131492,0.74,1.0,0.6,0.5283432356871846,0.5426750589699292,1.0,1.0,1.0,0.06444485413241935
2227,1.0,0.5567201992604202,0.43546147572014565,0.5567206173556224,0.4184236,0.37,0.0,0.2,0.4383193189017107,0.430661576508514,0.0,1.0,1.0,0.4537786880709541
665,0.0,0.5521345499344872,0.6742915907970263,0.5521349346690464,0.6258023,0.47,1.0,0.2,0.633168680230769,0.6419972795936809,1.0,1.0,1.0,0.5011687534145354
299,1.0,0.5510529000417894,0.559562448795653,0.5510532769485247,0.57016957,0.61,0.0,0.4,0.5306841754506957,0.5328618206581255,1.0,1.0,1.0,0.26952435587463003
2297,0.0,0.5569187453210444,0.4109415163751379,0.5569191649423274,0.33825737,0.66,0.0,0.6,0.3951711271807402,0.37768886330850315,0.0,1.0,1.0,0.11951721010510223
2048,1.0,0.5562264566975245,0.6108254143950462,0.5562268712596556,0.6247035,0.61,1.0,0.8,0.6000162072938138,0.6132993248518812,0.0,1.0,1.0,0.24626816615054928
2037,1.0,0.5561953829803183,0.5733406135849235,0.556195797325016,0.54463094,0.59,1.0,1.0,0.5327370427460417,0.5285162245017542,0.0,1.0,1.0,0.20488570904137796
998,1.0,0.5531189776115937,0.5930446254015485,0.5531193695732434,0.6134269,0.44,0.0,0.6,0.59610204802753,0.6037481624471462,1.0,1.0,1.0,0.2594524697513989
1558,0.0,0.5547716045670633,0.41469209629796294,0.5547720086835581,0.46628118,0.53,0.0,0.8,0.5160423175536789,0.5273487702010876,1.0,1.0,1.0,0.46598203601599475
84,1.0,0.5503920297363705,0.7550899513691519,0.5503924017058957,0.7157997,0.6,1.0,0.6,0.7823194394456707,0.7808352276097824,1.0,1.0,1.0,0.9210296581036
