,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
1367,0.0,0.5151853261804369,0.5084615241651358,0.5104470043874259,0.43644404,0.59,1.0,0.8,0.5266948834804965,0.5137981865068432,1.0,1.0,1.0,0.00015294100004237796
1331,1.0,0.635322210477992,0.5951989991111236,0.6354405566532824,0.5822394,0.9870370370370369,1.0,1.0,0.5815023065549871,0.6401306901796102,1.0,1.0,1.0,0.00017539160713211265
1925,1.0,0.5542977073469704,0.5084615241651358,0.5556743358629469,0.5691906,0.54,0.0,0.4,0.5323239437151266,0.5559039030131454,1.0,1.0,1.0,0.00013146208924875123
1952,1.0,0.5484075819533283,0.5084615241651358,0.5491417206793049,0.48631337,0.17,1.0,0.4,0.529890309034689,0.5532469723530166,1.0,0.0,0.0,5.2750632144815404e-05
2053,0.0,0.5229926802247612,0.5084615241651358,0.5242945249844946,0.6209562,0.77,1.0,0.6,0.5252941714790296,0.5256934939131689,1.0,1.0,1.0,5.9566704971641785e-05
165,0.0,0.5642510995774513,0.5951989991111236,0.5649779368091072,0.5574298,0.6183333333333334,1.0,0.4,0.5778914461851571,0.5652124563564646,1.0,1.0,1.0,0.00012643719258445709
626,0.0,0.6204656897678592,0.5084615241651358,0.614528308635107,0.64756507,0.71,0.0,0.6,0.5316101466232178,0.6269692153707067,1.0,1.0,1.0,8.708730502928264e-05
1181,0.0,0.548232504760743,0.5951989991111236,0.548806769941705,0.5486264,0.54,0.0,0.6,0.5747830892543899,0.5500712726680568,1.0,1.0,1.0,0.0001131545327860543
646,1.0,0.4963223786132596,0.5084615241651358,0.4973520161071839,0.5462791,0.63,1.0,0.6,0.5342149664964277,0.49508133806288385,1.0,1.0,1.0,0.00011724622980111135
2013,1.0,0.6535016171746875,0.5951989991111236,0.6553868651858779,0.70356876,0.82,1.0,0.8,0.5783438226433864,0.6559821146444581,1.0,1.0,1.0,0.0004082970241330672
1966,0.0,0.5303663394759516,0.5084615241651358,0.5323056517954657,0.54335946,0.38,1.0,0.2,0.5342149664964277,0.5322187397757577,1.0,1.0,1.0,0.0001183831320905021
1872,0.0,0.4735264675947505,0.5084615241651358,0.475519040493309,0.5344954,0.76,1.0,0.8,0.529100161267598,0.4721965598506877,1.0,1.0,1.0,0.0001145139197968012
1756,0.0,0.4674965422812669,0.34978425945616826,0.4676872866921897,0.2946457,0.303,0.0,0.2,0.49235611175427385,0.4634239359873351,0.0,0.0,1.0,8.386051955370933e-11
1501,0.0,0.5911717842505445,0.5951989991111236,0.5913230504289482,0.5655008,0.77,1.0,0.4,0.5768854056885371,0.5939936211823045,1.0,1.0,1.0,0.00013463301077679704
