,detection level,no of samples in training,Lasso mean,Lasso std,Decision Tree mean,Decision Tree std,Random Forest mean,Random Forest std,OLS mean,OLS std,Neural Network mean,Neural Network std
0,-1.6094379124341003,369,-1.8210898159741122,0.2989152967127204,-1.7378139928554222,0.39760095323885397,-1.7322233222290062,0.3568963554365962,-1.7690895173932888,0.30185581856038896,-1.8121031790196074,0.31564508919611983
0,-2.659260036932778,283,-2.336437094889991,0.291442898458585,-2.312193683413226,0.3259941733020258,-2.3133639764883136,0.2871194531074701,-2.2771988453405134,0.29272797591247485,-2.3396284286189566,0.2914854672777875
0,-2.3025850929940455,272,-2.062951153594126,0.3370785287636129,-2.0532556089454523,0.40195779988317354,-2.0287938432684354,0.38233613334059646,-2.0114415419657528,0.3208784831508924,-2.06716888331656,0.3553765417952226
0,-1.2039728043259361,166,-1.414827710678423,0.34250407064420335,-1.322154634165797,0.37766235545836657,-1.318755155378157,0.36269452882710274,-1.3700332820052883,0.34899298070068163,-1.3946737976427406,0.3493221806245036
0,-0.916290731874155,82,-1.191654010174432,0.45223575294619933,-1.0640074266874568,0.4662013554895579,-1.092095756266425,0.445668171563618,-1.1462449066815268,0.43757234519028276,-1.1730438940885912,0.448480155013598
0,-0.6931471805599453,51,-0.9101863824553222,0.3887004980306391,-0.7926194639659567,0.38035773562528874,-0.7783089804442542,0.4515355444256217,-0.8680239845811604,0.391667930653506,-0.9018222772483531,0.35609655464125084
0,-0.5108256237659907,30,-0.9327662449739539,0.3718458760777956,-0.8393963611161733,0.5124302932241918,-0.9702553750675201,0.6271241956152221,-0.8820150043217775,0.36615757256262393,-0.913049650406626,0.37394132848501566
0,-0.2231435513142097,23,-0.5846619110954112,0.2044882284543374,-0.551441507381372,0.25369288667645623,-0.31911226504009466,0.2234082546023349,-0.5993994565575558,0.28376927130922436,-0.49772733679945946,0.1464844382706566
