,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
2117,1.0,0.4848335645409653,0.5282005238600662,0.4955358213176974,0.572563,0.5,0.0,0.6,0.5290622949504216,0.4919805994313624,1.0,1.0,1.0,0.9998356781320739
364,1.0,0.6757748627909366,0.5028109025497088,0.6772404204244425,0.6864688,0.57,1.0,0.8,0.6440222793417508,0.6795625944693048,0.0,1.0,1.0,0.9999976375197246
1695,0.0,0.667491452129095,0.637133231224061,0.6683936332602588,0.68623435,0.74,1.0,0.6,0.5991396986216887,0.6672760901486114,1.0,1.0,1.0,0.9999988994772923
237,1.0,0.5591874739574607,0.5028109025497088,0.5622872535666558,0.61446846,0.4450000000000001,1.0,0.6,0.5813218566247677,0.5709728736584174,0.0,1.0,1.0,0.9998893451862457
763,1.0,0.5383170256623089,0.5282005238600662,0.5390564386270437,0.5039245,0.62,0.0,0.8,0.5561779878988383,0.541677706529875,1.0,1.0,1.0,0.9999978031720617
2045,1.0,0.5559791071010554,0.637133231224061,0.5595048330965604,0.5207542,0.5479999999999999,1.0,0.6,0.5986754016826572,0.5668514650877184,1.0,1.0,1.0,0.9999401787493366
1524,0.0,0.6528998899741637,0.5282005238600662,0.6497085146862434,0.62705153,0.79,1.0,0.8,0.6127389430699449,0.6546873222607015,1.0,1.0,1.0,0.9999989401096844
1792,1.0,0.6470445652813736,0.637133231224061,0.6487756213168224,0.6715478,0.85,1.0,0.6,0.6210911993690497,0.6504555935336754,1.0,1.0,1.0,0.9999981996898774
72,0.0,0.5847594223927561,0.637133231224061,0.5869367433611765,0.64464134,0.78,1.0,0.4,0.617446204339043,0.5895585208993077,1.0,1.0,1.0,0.9999986972779199
1539,1.0,0.48655508708260614,0.5282005238600662,0.4887820931101376,0.5160955,0.63,1.0,0.6,0.5125929170076041,0.48520066043485943,1.0,0.0,1.0,0.9999976296466278
1035,1.0,0.34608618460160157,0.3920323323420828,0.34798637218141126,0.46780354,0.57,1.0,0.2,0.4057609207190236,0.3433140094625311,0.0,0.0,0.0,0.9999268488979312
1935,1.0,0.5688419286817633,0.637133231224061,0.570701343416902,0.5783505,0.24,1.0,0.2,0.5882759833810924,0.5652669331793072,1.0,0.0,1.0,0.999995604354358
216,1.0,0.49650293013180835,0.5282005238600662,0.48203359670881885,0.4748104,0.44,0.0,0.2,0.5195218003083355,0.49646021006863894,1.0,1.0,1.0,0.9999958702946267
1239,0.0,0.6268617332844677,0.637133231224061,0.6282234632979613,0.5920609,0.78,1.0,0.8,0.6229668160265889,0.6261248524761743,1.0,1.0,1.0,0.9999985614256923
958,1.0,0.5921323092571761,0.637133231224061,0.5931425346811933,0.5831736,0.415,0.0,0.6,0.5849210303490878,0.5966990413452455,1.0,1.0,1.0,0.999997604397566
547,1.0,0.5490207410184331,0.637133231224061,0.5503441612551152,0.48344657,0.51,0.0,0.8,0.581830085839234,0.5497705690441029,1.0,1.0,1.0,0.9999977686925401
1492,0.0,0.5353500668710226,0.5028109025497088,0.5395345109106876,0.63517183,0.6166666666666667,0.0,0.6,0.5087517858404978,0.5469964365043475,0.0,1.0,1.0,5.3343439640562034e-05
613,0.0,0.645833252149917,0.637133231224061,0.6471785867301808,0.645994,0.315,0.0,0.2,0.6229668160265889,0.6450105350008077,1.0,1.0,1.0,0.9999984845548874
545,0.0,0.4534028473132315,0.5282005238600662,0.45307035498526604,0.49611065,0.44,0.0,0.8,0.5059396092313244,0.4538718735404762,1.0,1.0,0.0,0.9999937295209046
210,0.0,0.44906153867834875,0.5282005238600662,0.4509690003544852,0.37903133,0.41,0.0,0.4,0.5158401372665216,0.4501487110679685,1.0,1.0,1.0,0.9999965318489885
261,0.0,0.7358875878196586,0.637133231224061,0.7374387268614271,0.72225195,0.5124227994227994,1.0,0.4,0.6791064885772459,0.7392115536278921,1.0,1.0,1.0,0.9999994286034697
704,0.0,0.6471689133627843,0.637133231224061,0.6482794836453547,0.6647511,0.91,1.0,0.8,0.6229668160265889,0.6503232138051149,1.0,1.0,1.0,0.9999985583512743
1324,0.0,0.5181249153209008,0.5282005238600662,0.5208111349354856,0.6055627,0.64,1.0,0.6,0.5486065568979681,0.5175374026579687,1.0,1.0,1.0,0.9999932666581365
41,0.0,0.5985149004247526,0.637133231224061,0.599853478811439,0.6270008,0.6661679717341482,1.0,0.6,0.5933844467149851,0.6012224557914213,1.0,1.0,1.0,0.9999974639842724
1658,0.0,0.4598916400279786,0.5282005238600662,0.4622649800799405,0.5025624,0.33333333333333326,0.0,0.2,0.4951985019957561,0.4582058066603868,1.0,1.0,1.0,0.9999950733914279
1863,1.0,0.4805522099056797,0.5282005238600662,0.4693241895390385,0.4553567,0.65,1.0,0.6,0.5033589740116786,0.4794140361086543,1.0,1.0,1.0,0.9999947444490449
669,1.0,0.6791423346623761,0.637133231224061,0.6802934631774862,0.7025209,0.4,0.0,0.6,0.6503076889940927,0.68327216730986,1.0,1.0,1.0,0.999998875944015
1319,1.0,0.7330663776824271,0.637133231224061,0.7346646687551635,0.68853277,0.5,0.0,0.6,0.6780144416481573,0.7375550995258627,1.0,1.0,1.0,0.9999990676999648
462,0.0,0.5879273819531138,0.5282005238600662,0.5734170831469956,0.60781085,0.45,0.0,0.4,0.5688197553110592,0.5923311316972647,1.0,1.0,1.0,0.9999977183339961
1762,1.0,0.6274719441472923,0.637133231224061,0.628600881702111,0.5874152,0.8,1.0,0.8,0.6229668160265889,0.6299331844666342,1.0,1.0,1.0,0.9999986614381738
1584,0.0,0.4674005002007513,0.5282005238600662,0.460079802516394,0.46157742,0.62,1.0,0.4,0.4938929125054502,0.468077763452853,1.0,1.0,1.0,0.9999941111916312
923,0.0,0.4954403411457256,0.5282005238600662,0.49310552666931173,0.41033885,0.51,0.0,0.6,0.508072239974766,0.49703000987496276,1.0,1.0,1.0,0.9999916877733918
2036,1.0,0.8232400146211505,0.637133231224061,0.8249459388925727,0.77758217,0.9,1.0,0.8,0.7618608668528788,0.8303850472382398,1.0,1.0,1.0,0.9999997751454868
1763,0.0,0.5229419340854549,0.5282005238600662,0.5249805075422234,0.5168334,0.51,0.0,0.6,0.5280825034588447,0.5244630154323442,1.0,1.0,1.0,0.999996728856569
1221,1.0,0.45511435275247525,0.5282005238600662,0.45799644568999043,0.52801484,0.57,0.0,0.6,0.5164165872450855,0.4633990611071176,1.0,1.0,1.0,0.9999974524670754
1771,1.0,0.5842722054593994,0.637133231224061,0.5862409440646931,0.41169292,0.45,1.0,0.6,0.5978542123256935,0.5829425202261238,1.0,1.0,1.0,0.9999970114866378
1715,1.0,0.7359312796347629,0.637133231224061,0.7375381060998593,0.6547279,0.5599896214896216,1.0,0.6,0.6780144416481573,0.7392442826460397,1.0,1.0,1.0,0.9999990277410832
1735,0.0,0.560297999079047,0.637133231224061,0.5616251040633828,0.45671132,0.57,1.0,0.8,0.5952600633725244,0.5617926722575562,1.0,1.0,1.0,0.9999983122721079
