,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
823,0.0,0.5039016707497137,0.49139372341974935,0.5009066413398632,0.5184827,0.56,1.0,0.6,0.5066854336427087,0.502192910426735,0.0,1.0,1.0,0.8528065931351508
2116,1.0,0.5972976168670787,0.5751815694363348,0.5933710053817504,0.54609776,0.78,1.0,0.6,0.5677817307220336,0.6026128940662849,1.0,1.0,1.0,0.8262860276911315
0,0.0,0.20049454588800153,0.27366934452765623,0.2035819485854605,0.32330516,0.26,1.0,0.4,0.383842759028451,0.19515856992375563,0.0,0.0,0.0,2.9764891021126653e-16
922,0.0,0.4423987412651733,0.5751815694363348,0.4444913997953311,0.49230826,0.35,1.0,0.2,0.5511500929243317,0.43572978041213756,1.0,1.0,1.0,8.900985497502669e-09
1720,0.0,0.5678678478362145,0.5751815694363348,0.5657295137535557,0.5559362,0.6049301091065797,0.0,0.4,0.5677817307220336,0.5681883653630471,1.0,1.0,1.0,0.8415210569401923
1295,1.0,0.31773945948610255,0.3601244131514167,0.32874894516045705,0.50242335,0.31,1.0,0.6,0.43590258590533715,0.3030631336497075,0.0,0.0,0.0,6.458657931435405e-44
488,0.0,0.6886226511572691,0.6085770915191493,0.6864011233509602,0.706156,0.58,1.0,0.4,0.6031202543491437,0.6920818059556019,1.0,1.0,1.0,0.9475043184568347
634,1.0,0.6670106600866181,0.5926562044444251,0.6703041754084859,0.60946554,0.57,1.0,0.4,0.5992097817195419,0.6712503992960742,1.0,1.0,1.0,0.9381985827061452
879,1.0,0.6667930370262263,0.6247229095599078,0.6693384166006683,0.65382034,0.73,1.0,0.8,0.5924308642142894,0.6712759319330263,1.0,1.0,1.0,0.9479802074843465
541,1.0,0.4399416510554535,0.47546056974796164,0.4341562781500017,0.38882476,0.29,0.0,0.4,0.4882127709918435,0.43752679779777615,0.0,1.0,1.0,0.707978998855455
1340,1.0,0.5431587025260437,0.5751815694363348,0.540808238236436,0.5268445,0.6499209956709957,0.0,0.6,0.5530681405050317,0.5453298293051398,1.0,1.0,1.0,0.5460183681898978
359,0.0,0.41945343834665266,0.47546056974796164,0.42179902411303,0.39857018,0.3,0.0,0.2,0.5154030950994334,0.4155846429958058,0.0,0.0,0.0,0.7795752570512687
928,1.0,0.5623331444851934,0.4840978067869479,0.5646638044705649,0.5208923,0.36,0.0,0.2,0.5321554223205197,0.5638058621755054,0.0,0.0,0.0,0.9179501843911986
1739,1.0,0.597026489669411,0.5751815694363348,0.5951408368420937,0.5674869,0.9279393939393938,1.0,0.8,0.5677817307220336,0.5984240883851041,1.0,1.0,1.0,0.8749844660130204
