,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
1633,0.0,0.5492481061177727,0.45803899491569594,0.549248104922355,0.4101547,0.11,0.0,0.0,0.406083556916644,0.37477812536113714,0.0,1.0,1.0,0.21283871820870687
1858,0.0,0.5498738220443035,0.6468442900817186,0.5498738206934726,0.67749035,0.78,1.0,0.6,0.6359475395219829,0.6472119760634059,1.0,1.0,1.0,0.8204124973276354
959,0.0,0.547464089471214,0.612487848165309,0.5474640881832475,0.5288268,0.89,1.0,0.8,0.6158377087709108,0.6301259342584301,1.0,1.0,1.0,0.784467520999913
1003,1.0,0.5475860555989128,0.3950103324105902,0.5475860545444049,0.25332806,0.38,0.0,0.6,0.36822425221652405,0.3209631482565356,1.0,1.0,1.0,1.709328158911986e-08
168,1.0,0.5453351443244742,0.5243458781877837,0.5453351431938912,0.5902959,0.64,1.0,0.8,0.5402518533771128,0.555713885539707,1.0,1.0,1.0,0.23725755316383026
176,0.0,0.5453582216283138,0.6607515146027634,0.5453582203577005,0.6974333,0.78,1.0,0.8,0.6707672307338317,0.690060514434015,1.0,1.0,1.0,0.8461563927947984
117,1.0,0.5452027506406847,0.5558085075516926,0.5452027494655698,0.48614448,0.61,1.0,0.6,0.5273492636048905,0.5277124728879699,1.0,1.0,1.0,0.3514239098764716
1863,0.0,0.5498865527928302,0.3458643023044824,0.5498865516331427,0.47065637,0.44,0.0,0.6,0.31938266257426084,0.29135507269865835,0.0,1.0,1.0,0.05284079673467443
456,0.0,0.5461700481380354,0.4372387599554231,0.5461700469532235,0.5555977,0.71,1.0,0.8,0.4699288754835544,0.4702435576067573,1.0,1.0,1.0,0.6176945141136124
1726,1.0,0.5495403689646561,0.6231139332634931,0.5495403676538592,0.6510185,0.63,1.0,0.6,0.5953450880865108,0.6058412618207473,1.0,1.0,1.0,0.4843908869820656
193,0.0,0.5454074116825091,0.5277194998473465,0.5454074104712573,0.5742426,0.34,0.0,0.8,0.551835896746659,0.5661925524938068,1.0,1.0,1.0,0.7179410787756604
108,1.0,0.545193033244767,0.3509851125224726,0.545193032228015,0.17743792,0.07,0.0,0.0,0.3582249317179149,0.33942593139241567,1.0,1.0,1.0,0.03250226775590008
215,1.0,0.5454954658387127,0.5931154041977731,0.5454954646418262,0.5771051,0.53,0.0,0.4,0.5583967194059163,0.5608937028134648,1.0,1.0,1.0,0.3916180261881207
1731,1.0,0.54955613324468,0.8485666117549594,0.5495561318963391,0.7672925,0.74,1.0,0.8,0.6755247505098956,0.5688363431751847,1.0,1.0,1.0,1.0
1671,1.0,0.5494009115479893,0.5201668141923775,0.5494009104244726,0.6450963,0.72,0.0,0.4,0.5701430700303687,0.596467546953791,0.0,1.0,1.0,0.3122530019313495
2034,0.0,0.5503339133684427,0.4510856015696598,0.5503339122260711,0.5178726,0.56,0.0,0.4,0.49979237227207945,0.48068511394624136,0.0,1.0,1.0,0.14512107829251036
2025,1.0,0.5503151235361722,0.5468309667011031,0.5503151222979056,0.49854606,0.48,0.0,0.4,0.491401506579493,0.46542312327801294,0.0,1.0,1.0,0.2347635270605744
1841,1.0,0.5498392662201698,0.6615581998515886,0.549839264906076,0.6712054,0.63,1.0,0.2,0.6008249961240819,0.6013047244182577,1.0,1.0,1.0,0.5343115401226668
327,0.0,0.5458124374093267,0.7599257635876813,0.5458124360738039,0.82047015,0.6,1.0,0.8,0.7735743260827944,0.7826696013369725,1.0,1.0,1.0,0.9607601080635683
1287,0.0,0.5483474572619884,0.44130376253262266,0.5483474561441863,0.49123985,0.36,0.0,0.4,0.5112777514688925,0.506316911124652,1.0,1.0,1.0,0.47650290089917546
2289,1.0,0.5509690497171124,0.33436053775728924,0.5509690484892527,0.5691104,0.86,1.0,0.6,0.3529167930184862,0.33214707175386243,0.0,1.0,1.0,0.5197888291578178
585,1.0,0.5464747994282623,0.6030601306056091,0.5464747982740223,0.65017664,0.54,0.0,0.4,0.6215973140543356,0.6547093458163902,1.0,1.0,1.0,0.2857518169999038
1253,0.0,0.5482425125256493,0.42598359238324757,0.5482425113672107,0.40697452,0.36,1.0,0.4,0.41466900170572746,0.3925453381370447,1.0,1.0,1.0,0.20405096514219873
460,1.0,0.5461791546557235,0.37066842991121496,0.5461791535627605,0.36994216,0.47,0.0,0.2,0.3750139841518878,0.3540570518373588,1.0,1.0,1.0,0.1935223056077464
140,1.0,0.5452719848050711,0.5756227466191522,0.545271983679148,0.6326959,0.6,0.0,0.6,0.5044133583179218,0.47353352904648205,1.0,1.0,1.0,0.2508381937677953
470,1.0,0.5462022246352946,0.5620946734713678,0.5462022235247032,0.5763786,0.61,1.0,0.4,0.6614421090455693,0.6940931212727921,1.0,1.0,1.0,0.5771302189157024
488,1.0,0.5462404719582478,0.6615581998515886,0.5462404706695247,0.69783473,0.94,1.0,0.4,0.6675604687701416,0.6864472905885461,1.0,1.0,1.0,0.8559352340470635
420,1.0,0.5460419452000993,0.6318373992662449,0.5460419439314329,0.649041,0.94,1.0,1.0,0.6399498510233392,0.6563451391304945,1.0,1.0,1.0,0.8049447864401851
1714,1.0,0.5495185411962406,0.3951796679929537,0.54951854006536,0.31165668,0.41,0.0,0.4,0.40625175485764164,0.3977669540235948,0.0,1.0,1.0,0.13299168826572422
504,0.0,0.5462762902317259,0.7106582136714646,0.5462762889165278,0.7451545,0.91,1.0,1.0,0.7165302797143224,0.732985935558386,1.0,1.0,1.0,0.9137596833370589
2190,0.0,0.5507205906053246,0.573011691897774,0.5507205892944556,0.4805019,0.8,1.0,0.6,0.5451018356238407,0.548507612783482,0.0,1.0,1.0,0.39140094478565013
1502,1.0,0.5489224539650154,0.5270709412433503,0.5489224527096852,0.6219465,0.6,1.0,0.2,0.5137633074136936,0.5158063218008592,1.0,1.0,1.0,0.3424578642516594
1307,0.0,0.5483947721823536,0.6231139332634931,0.5483947708974626,0.6198125,0.71,1.0,0.6,0.6503634620991724,0.6676200737359879,1.0,1.0,1.0,0.7390644901965692
373,1.0,0.5459399441142136,0.6774006756715968,0.5459399428462351,0.7085903,0.85,1.0,0.6,0.6639117200086222,0.6837531832658045,1.0,1.0,1.0,0.6218153051745431
2023,1.0,0.5503126990262657,0.5681656227806724,0.5503126977801733,0.6277825,0.44,0.0,0.4,0.5542481303864802,0.5615995235434675,0.0,1.0,1.0,0.2661107174555307
