,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
1081,0.0,0.013532617757516435,6.233090514555925e-05,0.013533046564422528,0.0002561429,0.0,0.0,0.0,-0.003988633184651157,1.42455088642359e-20,0.0,0.0,0.0,0.4721894304123349
1942,0.0,0.011031218967445555,0.001024433477703268,0.011031586047415129,0.0011838322,0.0,0.0,0.0,0.0052459392669576155,3.031318285062262e-20,0.0,0.0,0.0,0.0
1895,0.0,0.011131497549976936,0.0014318981445643998,0.011131867217980039,0.0003015898,0.0,0.0,0.0,0.0028152800627045185,3.057809122881509e-20,0.0,0.0,0.0,1.0
2150,0.0,0.010532787832887847,0.01329580959834843,0.010533142044013516,0.0017009799,0.0,0.0,0.0,0.007676598471210714,8.135304658111951e-20,0.0,0.0,0.0,1.0
1349,0.0,0.012696755951075528,0.0002473642011234861,0.012697164551389695,0.00039580566,0.0,0.0,0.0,-0.000997309279057411,1.6507229174375132e-20,0.0,0.0,0.0,0.9999999999999734
1310,0.0,0.012811286100505567,0.0014318981445643998,0.012811697275054061,0.000733432,0.0,0.0,0.0,0.0028152800627045185,3.8749566266669497e-20,0.0,0.0,0.0,1.0
1055,0.0,0.01359567037155748,0.0019815034031496525,0.013596100289419875,0.0009228469,0.0,0.0,0.0,0.022204873902565037,1.1453090127450874e-18,0.0,0.0,0.0,1.0
447,0.0,0.015662536207585526,0.0004228812143558112,0.015663014094422563,0.0004934526,0.0,0.0,0.0,0.00016660617044685772,1.500383315375602e-20,0.0,0.0,0.0,0.9999999999997335
1337,0.0,0.012737346399427132,0.0028630470177448434,0.012737755738669317,0.0014175841,0.0,0.0,0.0,0.023005360311997205,1.1088367656423134e-18,0.0,0.0,0.0,1.0
1066,0.0,0.01356777392718685,8.335871966687493e-06,0.013568203665723647,0.0002561429,0.0,0.0,0.0,-0.008354235990963566,4.3697376613912736e-21,0.0,0.0,0.0,0.9999994697932497
746,0.0,0.014632152182926624,0.0006693921709825313,0.014632606561779086,0.00029283797,0.0,0.0,0.0,0.004321845525544869,5.565652386516739e-20,0.0,0.0,0.0,0.0
2271,0.0,0.010222735665425973,2.261712724818574e-06,0.010223082307742866,0.0003015898,0.0,0.0,0.0,-0.011184692859745285,2.5098133820193963e-21,0.0,0.0,0.0,0.0
717,1.0,0.014743966467866016,0.0010706624027944321,0.01474442323772975,0.0009228469,0.0,0.0,0.0,0.020867185613177342,6.046386908695617e-19,0.0,0.0,0.0,1.0
462,0.0,0.015601827578102486,0.0002473642011234861,0.01560230411818735,0.00030539988,0.0,0.0,0.0,-0.000997309279057411,2.3581426033324903e-20,0.0,0.0,0.0,1.0
1620,0.0,0.011900940114991711,0.007221736304695061,0.011901328937445445,0.019872088,0.0,0.0,0.0,0.006338910181823018,4.6450722349732626e-20,0.0,0.0,0.0,1.0
381,0.0,0.015911993008733062,1.005556484040599e-05,0.015912476785749214,0.00034914855,0.0,0.0,0.0,-0.004789119594083322,9.59976585086905e-21,0.0,0.0,0.0,0.0
2335,0.0,0.010080132452065944,0.00019212077783219814,0.010080475120645629,0.00030624893,0.0,0.0,0.0,0.0016123107733746218,3.309851778964994e-20,0.0,0.0,0.0,0.0
1335,0.0,0.012747686570050607,0.12648502328704303,0.01274809595095372,0.01572921,0.05,0.0,0.0,0.01598707718140674,3.034391207226336e-19,0.0,0.0,0.0,0.0
194,0.0,0.016698438355411262,0.0002499809853186351,0.016698939350341366,0.00034914855,0.0,0.0,0.0,0.0021836708267250066,3.5716752495967377e-20,0.0,0.0,0.0,0.0
160,0.0,0.016841189921701635,0.028969148941874023,0.016841693556890414,0.037312496,0.06,0.0,0.2,0.028084693408507964,4.0369331986285905e-18,0.0,0.0,0.0,1.0
674,0.0,0.014884717200742355,0.0004228812143558112,0.01488517736047627,0.0005152691,0.0,0.0,0.0,0.00016660617044685772,1.8328368013851048e-20,0.0,0.0,0.0,1.0
928,0.0,0.014027778638389792,0.001024433477703268,0.014028218815169134,0.00066916103,0.0,0.0,0.0,0.0052459392669576155,5.793139196599337e-20,0.0,0.0,0.0,0.0
575,0.0,0.015234186581201991,9.175881474532381e-07,0.015234655179016688,0.00034914855,0.0,0.0,0.0,-0.009974557110253714,2.619531547735074e-21,0.0,0.0,0.0,0.0
1907,0.0,0.011109202609256137,0.00015789836101905817,0.011109571785284676,0.00030624893,0.0,0.0,0.0,-0.0019715685283730067,1.656257375381336e-20,0.0,0.0,0.0,1.0
1467,0.0,0.012306468230031856,3.6895859775374027e-06,0.012306867473803608,0.0003334456,0.0,0.0,0.0,-0.006964644838723517,5.5737000045953745e-21,0.0,0.0,0.0,0.0
2102,0.0,0.0106395373719154,6.82421627244379e-05,0.010639894586113698,0.0003015898,0.0,0.0,0.0,-0.0006338802389853106,1.296758934235956e-20,0.0,0.0,0.0,0.0
1763,0.0,0.011478114617564043,0.028969148941874023,0.011478492784421675,0.019008845,0.01,0.0,0.2,0.028084693408507964,2.3182836747092186e-18,0.0,0.0,0.0,1.0
2243,0.0,0.010282230429886997,5.771876007986688e-05,0.0102825784438314,0.0003015898,0.0,0.0,0.0,-0.000997309279057411,2.0501390433180966e-20,0.0,0.0,0.0,0.0
2168,0.0,0.010473562234937022,0.0010706624027944321,0.0104739150373037,0.0004842253,0.0,0.0,0.0,0.0021836708267250066,1.94753854247288e-20,0.0,0.0,0.0,1.0
988,0.0,0.013835080491081233,0.0004228812143558112,0.013835516266331378,0.00041387774,0.0,0.0,0.0,0.00016660617044685772,1.2804787009295297e-20,0.0,0.0,0.0,0.9999999950554468
178,0.0,0.016784126214888586,1.9054278530159742e-05,0.016784629310187316,0.00034914855,0.0,0.0,0.0,-0.006560351678512679,9.51496037095953e-21,0.0,0.0,0.0,1.0
1251,0.0,0.012992722926688629,0.01329580959834843,0.012993138321050764,0.046362277,0.01,0.0,0.0,0.02636011325766305,2.3484606881415944e-18,0.0,0.0,0.0,1.0
1382,0.0,0.012568268288116045,0.6244483587262614,0.012568673071236615,0.9562131,1.0,1.0,1.0,0.7161361317061877,1.0,0.0,0.0,0.0,1.0
755,0.0,0.014599796196747396,0.0031337365534791152,0.014600249580015925,0.0017980686,0.0,0.0,0.0,0.007676598471210714,5.865349677520262e-20,0.0,0.0,0.0,0.0
1147,0.0,0.013286154014542587,0.01329580959834843,0.013286576443501057,0.02201408,0.0,0.0,0.0,0.02636011325766305,2.394769153268009e-18,0.0,0.0,0.0,1.0
1762,0.0,0.011478736180110742,0.0010706624027944321,0.011479114526912046,0.0009242807,0.0,0.0,0.0,0.020867185613177342,7.740177827777829e-19,0.0,0.0,0.0,1.0
731,0.0,0.014688350913995604,0.0002499809853186351,0.01468880659338277,0.00029283797,0.0,0.0,0.0,0.0021836708267250066,2.264336015991825e-20,0.0,0.0,0.0,0.0
404,0.0,0.015846914439032973,1.406080782041332e-05,0.01584739673629444,0.00034914855,0.0,0.0,0.0,-0.007219778798336421,8.022184399201726e-21,0.0,0.0,0.0,1.0
1807,0.0,0.01135996990424427,9.868632942387026e-05,0.011360345488517208,0.0003015898,0.0,0.0,0.0,0.00016660617044685772,1.4697480555491206e-20,0.0,0.0,0.0,0.0
634,0.0,0.015043832466252256,0.004376493298478935,0.015044296032816562,0.0065081012,0.0,0.0,0.0,0.023929454053409953,1.7139042110281037e-18,0.0,0.0,0.0,1.0
