,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
1852,0.0,0.5584266390893228,0.5468219591146875,0.5584266495983257,0.5851071,0.74,1.0,0.6,0.5189013786401037,0.5196919050742094,1.0,1.0,1.0,0.23101583943011902
483,0.0,0.5541794824732212,0.7323345529348333,0.5541794920235039,0.7631953,0.74,1.0,0.8,0.7591776017133469,0.762408555263317,1.0,1.0,1.0,0.9171043618401594
1194,0.0,0.5563842367139192,0.47838632798682257,0.5563842469117515,0.5525617,0.53,0.0,0.4,0.5372077610689674,0.5407197559119163,1.0,1.0,1.0,0.44575484320414516
965,1.0,0.5556514529192227,0.5679075307218083,0.5556514629358784,0.5888074,0.46,0.0,0.6,0.5012564929607465,0.47842017262501957,1.0,1.0,1.0,0.08917829371161573
2091,1.0,0.5591202267387075,0.3344607821008557,0.5591202374783362,0.2156839,0.43,1.0,0.4,0.3334573127730669,0.32781244421055633,0.0,1.0,1.0,0.11672913198518928
141,0.0,0.5530660001282403,0.47920500586065484,0.5530660096600502,0.57957727,0.8,1.0,0.4,0.5006903766811458,0.5057646016484919,1.0,1.0,1.0,0.2663401816235031
568,1.0,0.5544222744723685,0.5251247774932064,0.5544222843056836,0.58500344,0.48,1.0,0.4,0.5365671788560397,0.5369987982964507,1.0,1.0,1.0,0.01211577962211025
1442,0.0,0.557165697032374,0.45765853536895,0.5571657073006188,0.37324464,0.27,0.0,0.2,0.4185557552093271,0.3957890514987872,1.0,1.0,1.0,0.23840676613298784
956,0.0,0.5556166876076593,0.5962787216856171,0.5556166975471089,0.5442205,0.34,0.0,0.2,0.5401048485821109,0.5270573300464163,1.0,1.0,1.0,0.3957344879635202
657,1.0,0.5546820759330999,0.3686196620876069,0.5546820858919432,0.1884325,0.25,0.0,0.0,0.4175724475670117,0.4021809437298765,1.0,1.0,1.0,0.012533920759417765
