,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
522,1.0,0.9349904329390736,0.9553761760952291,0.9318512090990435,0.8961592,0.9,1.0,0.8,0.8534773737432193,0.9330776191689512,1.0,1.0,1.0,0.9996114548302965
731,0.0,0.03879443821692601,0.03199996777043566,0.05353820933502764,0.02653868,0.02,0.0,0.4,0.1548024808206268,0.07227313913473747,0.0,0.0,0.0,1.1007650581504813e-06
399,1.0,0.9876185453198535,0.9653419467886065,0.9871442039498456,0.98137236,0.96,1.0,0.8,0.9239031402432587,0.9712915782538017,1.0,1.0,1.0,1.0
1528,1.0,0.9905680974847262,0.9351783156949329,0.9906549141088516,0.9363783,0.97,1.0,1.0,0.9483848837003508,0.9873074375444734,1.0,1.0,1.0,1.0
1509,1.0,1.560492932286506e-05,2.234021561633931e-05,1.2443554559721153e-05,0.11529102,0.34,0.0,0.0,-0.9604693275045986,8.436038262413337e-06,0.0,0.0,0.0,4.4276582681254655e-13
1999,0.0,0.8437439152417919,0.5575898737159029,0.8418480229180634,0.77222604,0.76,1.0,0.4,0.6435886181613744,0.8411730964371542,1.0,1.0,1.0,0.9716165280323497
496,1.0,0.028232759859294878,0.040031130886470805,0.0280556998162238,0.027193403,0.05,1.0,0.2,0.0880798736071487,0.03026201128348546,0.0,0.0,0.0,0.01661616614079931
1971,0.0,0.002723078783992254,0.003601648561669489,0.00218907480838835,0.04015741,0.1,0.0,0.2,-0.2224335401782911,0.00400075156093091,0.0,0.0,0.0,7.767447418260141e-08
1933,1.0,0.0935572585457724,0.29679560893174467,0.08836774318836038,0.2183859,0.25,0.0,0.0,0.38507142006005657,0.2722898783614817,0.0,0.0,0.0,2.529381218799638e-05
1132,1.0,0.3550472245698818,0.48958944707628604,0.3482327556203061,0.5023458,0.44,1.0,0.4,0.5128788669955688,0.3968613627428504,0.0,0.0,0.0,0.12827531726978336
1056,1.0,0.4028463289845038,0.5575898737159029,0.40635969650527576,0.32539114,0.34,0.0,0.2,0.484089273401205,0.4572473140643905,0.0,0.0,0.0,0.9667351826514318
1606,0.0,0.02326342680666328,0.013253565448355938,0.022251047530836905,0.09296756,0.22,0.0,0.4,0.025249301177667105,0.01690302620274334,0.0,0.0,0.0,1.4174337655980016e-05
1943,1.0,0.71732257592504,0.5997503287646674,0.7127730696738089,0.72155344,0.63,0.0,0.2,0.6032649005678218,0.7457173267802164,1.0,1.0,1.0,0.984090760310178
1029,1.0,0.69845586126389,0.6493553993664236,0.6612383802795293,0.7637495,0.74,0.0,0.8,0.5641559031905385,0.6912133988167418,1.0,1.0,1.0,0.9899686246472079
20,1.0,0.4690542780977493,0.8517163829987946,0.4762609021624474,0.5991593,0.43,1.0,0.6,0.659679223238312,0.647073633403101,0.0,0.0,0.0,0.19122894114673242
1866,1.0,0.6217877978185417,0.48958944707628604,0.5917668435029793,0.6682505,0.64,0.0,0.4,0.5685345957235095,0.6411284756449851,1.0,1.0,1.0,0.9253082233304857
1531,0.0,0.6289002650547232,0.5212582622798284,0.6337798058531775,0.54163516,0.52,1.0,0.6,0.5438236342115774,0.6432374700378298,1.0,1.0,1.0,0.9866340387472864
591,1.0,0.7709663259264633,0.5997503287646674,0.7265546778252083,0.81517035,0.66,1.0,0.8,0.6223673968139175,0.7828739497759368,1.0,1.0,1.0,0.9911707240909815
90,0.0,0.10560862069009133,0.13806880752597173,0.11905831456696764,0.09370591,0.21,0.0,0.0,0.27226130193391646,0.12122013113775124,0.0,0.0,0.0,0.018484756084982516
957,1.0,0.9671635777127179,0.957514181401133,0.9716443051713164,0.98150843,0.97,1.0,0.8,0.9098330838004923,0.9606151007862209,1.0,1.0,1.0,1.0
875,0.0,0.038634353798919704,0.21410080135633805,0.046078459558629624,0.14863059,0.23,0.0,0.4,0.22673567045633913,0.023313666693228745,0.0,0.0,0.0,1.0707908515668793e-15
1148,0.0,0.9623922276229633,0.9734026663164524,0.9718963761865216,0.9660298,0.95,1.0,0.8,0.8880021999997463,0.9505744377739758,1.0,1.0,1.0,1.0
2084,0.0,0.033563922652329305,0.05373845854389597,0.028789815172294075,0.047970016,0.12,0.0,0.0,0.12401599098411814,0.035999055265531765,0.0,0.0,0.0,0.0040375111588693635
1579,1.0,0.9696767379921618,0.9357770504973667,0.9613417719705293,0.9099791,0.87,1.0,0.8,0.8555586328086727,0.957592657237281,1.0,1.0,1.0,1.0730479721493885e-05
305,0.0,0.5672852665901794,0.5575898737159029,0.5962361816919045,0.62983364,0.49,1.0,0.8,0.5247938653301827,0.5654288547819538,1.0,1.0,1.0,0.9573908763194419
270,1.0,0.3070577095522851,0.5575898737159029,0.3318758339714373,0.23617893,0.29,0.0,0.4,0.44772662122346035,0.31514583902995785,0.0,0.0,0.0,0.7027795311113754
380,1.0,0.3294655084066515,0.3769683322750651,0.36463203864773547,0.44497073,0.56,1.0,0.4,0.44107425324877986,0.26347870961497544,0.0,0.0,0.0,8.763545469754118e-07
1186,0.0,0.6533686869222658,0.48958944707628604,0.6219248996831516,0.7063377,0.7,0.0,0.4,0.5766192029286521,0.7190239963644529,1.0,1.0,1.0,0.11522044059337536
1597,1.0,0.9653420849691511,0.9734026663164524,0.9634404769880526,0.9897329,0.98,1.0,1.0,0.8911169163742743,0.9546955880683612,1.0,1.0,1.0,1.0
1165,0.0,0.05374699511623345,0.09177008271518398,0.05363184468833576,0.06628464,0.17,0.0,0.4,0.220267414555063,0.04982764671224169,0.0,0.0,0.0,1.7449903714134109e-06
